id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
2,Chale Meydon!,281,4.1,5,1,2000,40526968,0,Offers IAP purchases,BlazingFallGames,action,1.03
3,Datashahr,193,4.3,5,1,20000,5892952,0,,datashahr team,travel-local,1.1.9
4,Revenge of Sultans,1499,4.4,5,1,50000,70783970,0,Offers IAP purchases,nitrotech,strategy,1.3.2
5,ORG 2017,11038,4.5,5,1,200000,39667858,0,Offers IAP purchases,Ramin Jafari,music-audio,2017.1.2.4
6,Pit Stop Racing,1881,4.5,5,1,20000,71286987,0,Offers IAP purchases,baziline,racing,1.4.9
7,Hamkelasi,977,4.3,5,1,20000,2658563,0,,Hamkelasi,education,1
8,Gap Messenger,152,4.2,5,1,5000,16147560,0,,gapafzar,communication,1.3.4
9,Hafeznameh,3163,4.7,5,1,50000,14291348,0,,Digital Lab,books-reference,1.6
10,Naghsh (Wallpaper and Customizer),384,4.6,5,1,5000,11467820,0,Offers IAP purchases,amin-mousavi,live-wallpaper,2.0.2
11,News Road,35,4.4,5,1,5000,10916928,0,,Siamak khademi ansaroudi,news-magazines,1.2.0
12,30 Day,15,3.9,5,1,200,11141674,20000,,Fury Studio,health-fitness,1.2.1
13,Alefba,329,4.5,5,1,20000,16781227,0,Offers IAP purchases,Alefba,education,4.1.1cb
14,BazarAcademy,110,4.7,5,1,5000,10443096,0,,BazarAcademy,media-video,1
15,PasokhPlus,101,3.5,5,1,5000,16611100,0,,M Ghayour,education,0.3.14
16,Tamashakadeh Background Wallpapers,2505,4.5,5,1,20000,4714222,0,Offers IAP purchases,Digital Lab,live-wallpaper,1.71
17,Papyrus,144,4.1,5,1,2000,2769927,0,,ZANA TECH,education,1.1.2
18,Cup,32,4.2,5,1,5000,3667835,0,,Shatel,sports,1.1.3
19,PicChap,47,3.9,5,1,5000,5438687,0,,yaramobile,photography,1.0.5
20,Wallpapers,154,4,5,1,20000,2437804,0,,Google Inc.,personalization,1.0.139964517
21,Animals Land,276,4,5,1,50000,27012411,0,Offers IAP purchases,choobshoor,education,1.0.2.1
22,Farmket,74,4.9,5,1,5000,5335998,0,Offers IAP purchases,nigstudio,shopping,1.8
23,PinTaPin | Book Iran Hotels,49,3.7,5,1,10000,5796754,0,,Pintapin,travel-local,1.2.2
24,Bitdefender Mobile Security,1518,4.3,5,1,200,9724896,250000,,bitdefender-bms-95,tools,3.2.82.110
25,BAK,146,4,5,1,50000,8738098,0,Offers IAP purchases,microcloud,shopping,1.2.3
26,Manapay,281,3.6,5,1,10000,5149030,0,,Fanap Co,productivity,1.1.0.1
27,قلم هوشمند زیارت عاشورا,919,4.9,5,1,50000,29538334,0,,Sabapp,religious,4
28,hattrick,361,4.5,5,1,20000,5788774,0,,ARNA,sports,1.2.0
29,Tekyeh (Tebyan),508,4.7,5,1,20000,4173105,0,,tebyan,religious,1.5
30,Magic Rush,13,4.8,5,1,2000,73653241,0,Offers IAP purchases,Elex - Magic Rush,role-playing,1.1.100
31,Wild City Rush,12,4.1,5,1,2000,43409003,0,Offers IAP purchases,Flexion Mobile Limited,casual,1.0.3
32,SinJim,113,3.8,5,1,5000,26922910,0,Offers IAP purchases,ewalk,trivia,1.03
33,Defense Zone 3 HD,47,4.2,5,1,10000,99432553,0,Offers IAP purchases,FanGames,strategy,1.1.24c
34,Mahdiyar,2675,4.5,5,1,50000,39354250,0,,masaf,adventure,1.1
35,Last Empire-War Z,85,4.3,5,1,10000,77769734,0,Offers IAP purchases,im30.net,strategy,1.0.113
36,Shahin,3994,4.7,5,1,20000,90821688,0,Offers IAP purchases,takeoffstudio,action,1.3.5
37,CrazyCrowz,802,4.4,5,1,10000,47422464,0,Offers IAP purchases,Funera Studio,action,1.9
38,Sheed (Legend of the light),828,4.4,5,1,10000,94364106,0,Offers IAP purchases,simiyaworld,strategy,2.1
39,Bowmasters,230,4.5,5,1,20000,39849831,0,,Miniclip.com,action,1.0.5
40,Adad Chin,479,4.3,5,1,5000,31700949,0,Offers IAP purchases,RK GAME,educational,1.5
41,My Talking Dog 2,898,4.6,5,1,50000,76934487,0,Offers IAP purchases,medrick-fze-r,simulation,3.1
42,SiMorGH,217,4.5,5,1,2000,3428373,0,Offers IAP purchases,behnam8811413,word,2.02
43,PinOut,174,3.9,5,1,20000,93481718,0,,Mediocre,arcade,1.0.2
44,JenabRun,5770,4.3,5,1,500000,55548086,0,Offers IAP purchases,magic mirror,action,0.6
45,JiringLand,35111,4.6,5,1,50000,34400566,0,Offers IAP purchases,Anashid,casual,8.3.960
46,Motori 2,45855,4.4,5,1,500000,80356758,0,Offers IAP purchases,glim games 2,arcade,133
47,Footballi | Live football scores,28555,4.7,5,1,100000,5438204,0,,oddrun,sports,3.1.0
48,Galaxy Control: 3d strategy,1309,4.3,5,1,20000,72090478,0,Offers IAP purchases,baziline,strategy,GI_3.25.48
49,"Zapya - File Transfer, Sharing",37633,4.5,5,1,8000000,9620032,0,,zapya,tools,4.5.2 (US)
50,Police-Patrol,3618,4.2,5,1,100000,76912154,0,Offers IAP purchases,Art of Light and Motion Studio,action,1.1
51,Marzban,870,4.2,5,1,20000,71736427,0,Offers IAP purchases,haftsangstudio,action,2
52,Quiz of kings ( online game),246160,4.7,5,1,1000000,30124893,0,Offers IAP purchases,Palangco,trivia,1.10.2811
53,Taskook Calendar,535,4.4,5,1,20000,5113387,0,,Taskook,productivity,1.1.1
54,Salahshooran,10464,4.4,5,1,100000,120089703,0,Offers IAP purchases,drain,action,1.4.1
55,HIGH Hi DICTIONARY English-Persian,2303,4.5,5,1,50000,11763908,0,Offers IAP purchases,kaziwa_soft-2000,books-reference,4.24
56,Commanders war,14573,4.3,5,1,20000,39630288,0,Offers IAP purchases,mahdi heydarzadeh,strategy,218
57,Tar and Setar HD,86,4,5,1,1000,47251397,80000,,tvsetar,music-audio,5.0.3
58,War Inc - اتاق جنگ,4231,4.6,5,1,20000,101326712,0,Offers IAP purchases,medrick-fze-r,strategy,1.867
59,Tagmond,117,3.9,5,1,10000,9174636,0,,Tagmond Co,lifestyle,3.4.0
60,Chidaneh,315,4.3,5,1,10000,5803016,0,,Chidaneh,lifestyle,1.1.1
61,Pinterest,3375,4.4,5,1,100000,15983958,0,,pinterest,social,6.6.0
62,Decoration Magazine,1480,4.5,5,1,10000,2931319,0,,bartarinha,lifestyle,2.1
63,khooger,41,4.4,5,1,1000,5611898,0,,khooger,shopping,2.1.0
64,Houzz,1414,4.7,5,1,10000,28668309,0,,Houzz,lifestyle,5.17.2
65,Homestyler,205,4.4,5,1,5000,27401489,0,,Autodesk Inc.,lifestyle,1.4.7.5.249
66,20decor,6,4.8,5,1,500,6645368,0,,20 decor,lifestyle,1.0.3
67,bazartche,3349,4.3,5,1,5000,2758288,0,Offers IAP purchases,atfadev,shopping,2.5
68,PerCity - Grow your Persian City,8791,4.5,5,1,20000,45877089,0,Offers IAP purchases,TOD,simulation,0.9.45.4225
69,Pahlavan & Zombies,1725,4.4,5,1,20000,32786148,0,Offers IAP purchases,mocholo_game,arcade,1.0.14
